branchCode,branchName,address1,districtId,stateId,isHub,phone1,phone2,address2,cityId
VSTR,VISAKHAPATNAM,,19,1,1,,,,
AATR,ANANTAPUR,,1,1,1,,,,
TPTR,TIRUPATHI,,9,1,1,,,,
CDTR,KADAPA,,4,1,1,,,,
VZTR,VIJAYAWADA,,24,1,1,,,,
RJTR,RAJHAMUNDRY,,11,1,1,,,,
KRTR,KURNOOL,,6,1,1,,,,
NLTR,NELLORE,,8,1,1,,,,
MAH/GUJ/OD ZONE,OTHERS,,,,1,,,,
HBTR,HUBLI,,47,4,1,,,,
RCTR,RAICHUR,,55,4,1,,,,
BETR,BELLARY,,32,4,1,,,,
BLTR,BENGALURU,,36,4,1,,,,
HYTR,HYDERABAD,,95,10,1,,,,
CHTR,CHITTOOR,,15,1,1,,,,
SLTR,SALEM,,86,9,1,,,,
AAE,ANANTAPUR - INDUSTRIAL ESTATE,"A-2, INDUSTRIAL ESTATE,PAPAM PET, AATR",1,1,0,,,,
AAC,ANANTAPUR - POLICE TRAINING AREA,"D.NO.3-171, 3RD ROAD, ANANTHAPURAM,",1,1,0,,,,
AAP,ANANTAPUR - SAI NAGAR,"D.NO.12-3-12, WORD NO.12, 4TH CROSS, SAI NAGAR, ,ANANTAPUR - 515 001",1,1,0,,,,
AAT,ANANTAPUR - TADIPATRI BUS STAND,"D.NO.19-3-238, TADIPATRI ROAD,NEAR CHAKRAVARTHI EMERY STONES",1,1,0,,,,
GUY,GOOTY,"NEAR THIKKA LAXMAMMA TEMPLE,ANANTAPUR ROAD, GOOTY-515 401",1,1,0,,,,
GTK,GUNTAKAL,"CHINNAKAMALA STREET,NEAR JENDA, KATTA,OPP.REGAL TALKIES, GUNTAKAL",1,1,0,,,,
KLND,KALYANDURG,"D.NO.8/2006, VADDY COLONY, HINDUPPUR ROAD,KALYANADURGAM",1,1,0,,,,
KNEK,KANEKAL,"D.NO.6/520A, RAYADURG ROAD,OPP. NEW CHURCH, KANEKAL",1,1,0,,,,
NARP,NARPALA,"NEAR BHARATH GAS OFFICE, MRO OFFICE ROAD,NARPALA, ANANTAPUR DISTRICT",1,1,0,,,,
PMDI,PAMIDI,"D.NO. 1/2264, MAIN ROAD, NEAR PUMPHOUSE, ,NARAYANANA SWAMI STREET KALLUR ROAD, PAMIDI",1,1,0,,,,
RYDG,RAYADURG,"D.NO.10-5-664/3-1, ROOM NO.1,,GUPTA COMPLEX, DASAPPA ROAD, RAYADURGA-515 865",1,1,0,,,,
TAD,TADIPATRI,"D.NO.8/310, OM SHANTI NAGAR, ,TADIPATRI - 515411",1,1,0,,,,
UKDA,URAVAKONDA,"WARD NO10,D.NO.10-2-208/4. RANGA STREET, ,Uravakonda Anantapur - 515 812",1,1,0,,,,
DMVM,DHARMAVARAM,"D.NO 20/68, BRAHMANA STREET,NEAR MARKENDYA SWAMY TEMPLE, DHARMAVARAM",2,1,0,,,,
GRN,GORANTLA,"D.NO.4-241, OPP.NIMMALAKISTAPPA KADIRI ROAD,DOOBANNA COMPOUND, GORANTLA-515 231",2,1,0,,,,
HIP,HINDUPUR,"D.NO7-7-6 AND 7-7-6A, SRI VASAVI DHARMASHALA ROAD,HINDUPUR",2,1,0,,,,
KRY,KADIRI,"D.NO.1-1190-2-1, OPP.POWER OFFICE,,ANANTHAPURAM ROAD, KADIRI",2,1,0,,,,
KCRU,KOTHACHERUVU,"D.NO.1-115, BESIDE ANDHRA BANK,,Kothacheruvu.",2,1,0,,,,
MDKS,MADAKASIRA,"DR.NO 4-351/B,PAVAGADA ROAD",2,1,0,,,,
MGBA,MUDIGUBBA,"1-33, KADIRY ROAD,MUDIGUBBA, ANANTAPUR (DISTRICT)-515 511",2,1,0,,,,
PENK,PENUKONDA,"NO:1/399, HMPT COLONY,NEAR MADAKASIRA CROSS, PENUKONDA",2,1,0,,,,
PTPR,PUTTAPARTHI,"4-391/4, KARNATAKA NAGEPALLI ROAD,NEAR BRIDGE, PUTTAPARTY",2,1,0,,,,
PVGD,PAVAGADA,"D.NO.I48, SIRA ROAD,,PAVAGADA",31,4,0,,,,
BELY,BELLARY,"D.NO-164, WARD NO-11,,MULLANGI SANJEEVAPPA STREET BELLARY",32,4,0,,,,
BEID,BELLARY - KSIDC AREA,"SRI LAKSHMI VENKATESWARA ROLLER FLOUR MILL,BANGALORE ROAD, BELLARY",32,4,0,,,,
BESC,BELLARY - SANGAM CIRCLE,"D.NO-13/A WARD NO-XVI ,CITY PRESS COMPOUND, BELLARY-1",32,4,0,,,,
HBHL,HAGARI BOMMANAHALLI,"D.NO.274 ARB VIRUPAKSHA NAGAR,NEAR SWAMI VIVEKANAN,BLOOD BANK, HAGARIBOMMANAHALLI",32,4,0,,,,
HSPT,HOSPET,"NO.457, PATTEL NAGAR 2ND CROSS,,RAILWAY STATION ROAD, HOSPET",32,4,0,,,,
HVHG,HUVINAHADAGALI,"147/B, 9TH WARD RENUKA NAGAR, HUVANAHADAGALLI,HBHL MAIN ROAD BELLARY KARNATAKA - 583219",32,4,0,,,,
KMPY,KAMPLI,"D.NO.94A,WARD 8/19,,NEAR SYNDICATE BANK BHARATH TAKIES",32,4,0,,,,
KRGD,KURUGODU,"G.N.V.COMPLEX,CAR STREET",32,4,0,,,,
SRPA,SIRUGUPPA,"DR NO558/13, WARD NO15,BELLARY ROAD, TVS SHOW ROOM,siruguppa, pin no 584123",32,4,0,,,,
CHLK,CHALLAKERE,"INJINATTI ROAD, VASAVI COLONYM, MRF SHOW BACK SIDE,bangalore road, challakere",33,4,0,,,,
HRPH,HARAPANAHALLI,"D.NO.524, 07TH WARD, ,KOTTURU ROAD, HARPANAHALLI-583 131",34,4,0,,,,
GAVT,GANGAVATHI,"D.NO.3-3-120, MARUTHI GAS COMPANY, GUNDAMMA CAMP,GANGAVATHI",35,4,0,,,,
KRTG,KARATAGI,"SURVEY NO.5-3-112/20, SHIVA COMPLEX, NEAR,PANCHAYETHI OFFICE, KARATAAGI",35,4,0,,,,
SRMN,SRIRAMNAGAR,"PLOT NO. 2, SRINIVASA COMPLEX,NEAR SYNDICATE BANK, MAIN ROAD",35,4,0,,,,
BLBH,BENGALURU - BOMMANAHALLI,"D.NO.70/5, SHAMANNA REDDY BUILDING,,5th CRASS, HOSUR MAIN ROAD, BANGALORE",36,4,0,,,,
BLBS,BENGALURU - BOMMASANDRA,"47/2,1ST CROSS, SLN NAGAR,BEHIND TRIMURTHI UNIT-2,BOMMASANDRA, BANGALORE-560 099",36,4,0,,,,
BLCR,BENGALURU - CHAMRAJPET,"NO.132/2, 8TH CROSS, 1ST MAIN, ALBERT VICTOR ROAD,Chamarajpet, Bangalore - 560 018",36,4,0,,,,
BLHS,BENGALURU - H.SIDDAIAH ROAD,"NO.6/1, GROUND FLOOR, H.SIDDAIAH ROAD, ,BANGALORE-560 027",36,4,0,,,,
BLHB,BENGALURU - HEBBAL,"308/B,SRINIVASA COMPLEX, 4TH MAIN, SUMANGALI ,SEVASHRAMA ROAD, HEBBALA, BENGALORE-560 024",36,4,0,,,,
BLJN,BENGALURU - JAYANAGAR,"NO.4/2, S.KARIYAPPA ROAD, 25TH CROSS, JAYANAGAR ,6TH BLOCK, BANGALORE, BANASHANKARI 2ND STAGE,BLTR",36,4,0,,,,
