consignorId,consigneeName,address1,cityId,branchId
49,CENTURY PHARMA & SURGICALS,New No.7 old no-1/515 shop no.4 ground floor sujatha complex chennai,142,114
49,LYSANDER HOSPITAL PVT LTD,Dno.20 shanmugam street virudhanagar,701,484
49,HASNAIN PHARMA AND SURGICLES,khata no.499/18/70/63 property no 16-5-561-106 shop no.1 16th ward block tharahalli,397,82
49,DOSEUP,3/2 ground floor front portion south facing thenupuram street chittlampkkam tambaram,142,116
49,SRI KRISH MEDICAL SOLUTIONS,sp.v soundravalli illam no 42-a first floor raghupathi layout saibaba colony,171,449
49,BHARGAVI MEDICAL AGENCY,Dno.20-6-38 first floor room no1 anjiah road ishwarya nagar ongole prakash,587,626
49,SRI SAI DHEERAJ MEDICALS,10-2-18/7 NEWD NO 10-2-18/4/C/O SRI SAI DHEERAJ NURSHING NEAR RANGAREDDY ONGLE,587,626
49,VIJAYAPRIYA HEALTH CARE,"Door no.12-4688, G, 106, B-sree Mahendra Enclave beside Highway Towers, Bypass Road tadepalli village Guntur-522501",259,611
49,VIJAYAPRIYA HEALTH CARE,"ADD:12-13-1274,Asph  Apartments Flat no 105,Turnaka,Hyderabad",292,211
49,SRI SAI DHEERAJ MEDICALS,10-2-18/7 NEWD NO 10-2-18/4/C/O SRI SAI DHEERAJ NURSHING NEAR RANGARAYADU ONGLE,587,626
49,BHARGAVI MEDICAL AGENCY,Dno.20-6-38 first floor room no1 anjiah road ishwarya nagar ongole prakash,587,626
49,V CARE PHARMA,#39/16 sommasundram 2nd street ayanavaram chennai ,142,112
49,HAPPY LIFE HEALTHCARE SOLUTIONS,"D no.657,First Floor,Arinagar,Anna Nagar,15th East Cross Street Madurai",464,462
49,VIJAYAPRIYA HEALTH CARE,"12-12-1274,ASPH APARTMENTS FLAT NO 105 TURNAKA HYDERABAD",292,219
49,AARAIKE MEDICALS,"1683/1, GROUND FLOOR, YAJAMAN DODDAPPA LAYOUYT, HADADI ROAD DAVANAGERE",181,152
49,INDIRA PHARMA,"K NO.2860/2704, C/O INDIRA HOSPITAL NEAR PARK CHINTAMANI, CHIKKABALAPUR",150,80
49,MANIS  MEDICAL AGENSIS,"D NO. 21/5, GROUND FLOOR, NAKEERAN STREET, SHIVAGANGAI ROAD, K K NAGAR, MANAGIRI, MADURAI",464,462
49,TRUST HEALTHCARE,No.176 kanniyamman nagar vanagaram,142,133
49,HASNAIN PHARMA AND SURGICLES,khata no.499/18/70/63 property no 16-5-561-106 shop no.1 16th ward block tharahalli,397,82
49,SUGAM PHARMACY,"Door no. 107A, SOUTH WEST CORNER WEST FACING GROUND FLOOR GST ROAD CHROMPET",142,113
49,HEALTH MART,"DR NO 16-11-667/6 T.S NO 152/1B2 R.S NO.15/1B23 FIRST FLR,KAIRANNA BUILDING BALMATTA NEW ROAD",486,151
49,LYSANDER HOSPITAL PVT LTD,Dno.20 shanmugam street virudhanagar,701,484
49,SRI IVAN STEDFORD HOSIPTAL PHARMACY,2A UNIT OF AMM FOUNDATION ROOM NO 36 G.F SR IVAN HOSIPTITAL NO 2 M T H ROAD THIRUMULLAYOUT CHENNAI,142,133
49,HEALTH MART,"DR NO 16-11-667/6 T.S NO 152/1B2 R.S NO.15/1B23 FIRST FLR,KAIRANNA BUILDING BALMATTA NEW ROAD",486,151
49,VIJAYAPRIYA HEALTH CARE,"12-12-1274,ASPH APARTMENTS FLAT NO 105 TURNAKA HYDERABAD",292,219
49,DOSEUP,3/2 ground floor front portion south facing thenupuram street chittlampkkam tambaram,142,116
49,MANIS  MEDICAL AGENSIS,"D NO. 21/5, GROUND FLOOR, NAKEERAN STREET, SHIVAGANGAI ROAD, K K NAGAR, MANAGIRI, MADURAI",464,462
49,SHIVA DURG HOUSE,"KHATHA NO 1115/41, GROUND FLOOR AND FIRST FLOOR VINAYAKANAGAR NEAR BH ROAD",780,88
49,SUNSHINE MEDICALS,INSIDE SUNSHINE HOSPITAL DOOR NO 1994 & 1995 3RD CROSS 3RD MAIN ROAD MCC A BLOCK-DAVANGERE,186,152
49,BASAPPA MEDICAL GENERAL STORES,R S NO 54/2 GROUND FLOOR SANKAUR HOSIPTAL RESEARCH CENTRE SAMBHPUR ROAD GADAG,222,158
49,SRI KRISH MEDICAL SOLUTIONS,sp.v soundravalli illam no 42-a first floor raghupathi layout saibaba colony,171,449
49,HANNAH PHARMACEUTICALS,"No.33, SAB Complex Ground Floor perumal south car street, Tirunelvelli",784,476
49,HEALTH MART,"DR NO 16-11-667/6 T.S NO 152/1B2 R.S NO.15/1B23 FIRST FLR,KAIRANNA BUILDING BALMATTA NEW ROAD",486,151
49,VIJAYAPRIYA HEALTH CARE,"Door no.12-4688, G, 106, B-sree Mahendra Enclave beside Highway Towers, Bypass Road tadepalli village Guntur-522501",259,576
49,TRUST HEALTHCARE,No.176 kanniyamman nagar vanagaram,142,133
49,GOOBERZ MEDICAL DISTRIBUTORES,Ward No.12 khatha 3135/1009 no 26313 gr & 1st Floor 1st Main road tumkur,792,89
49,VIJAYAPRIYA HEALTH CARE,"12-12-1274,ASPH APARTMENTS FLAT NO 105 TURNAKA HYDERABAD",292,219
49,SAI SUSHMITHA AND GENERAL STORES INSIDE PHARMACY OF SRI SANTHOSHI,"1-18-123/C32/NR,DR.A.S Rao nagar main road,Malkajgiri Municipality and Mandal,Medchal,Malkajgiri",292,219
49,GOOBERZ MEDICAL DISTRIBUTORES,Ward No.12 khatha 3135/1009 no 26313 gr & 1st Floor 1st Main road tumkur,792,89
49,HEALTH MART,"DR NO 16-11-667/6 T.S NO 152/1B2 R.S NO.15/1B23 FIRST FLR,KAIRANNA BUILDING BALMATTA NEW ROAD",486,151
49,HASNAIN PHARMA AND SURGICLES,khata no.499/18/70/63 property no 16-5-561-106 shop no.1 16th ward block tharahalli,397,82
49,SARA RS ENTERPRISES,"NEW NO.1, OLD NO 9.EAST FACING 2ND FLOOR INSIDE DOOR RK DIABETIC FOOT AND PODIATRY INSTITUTE KOLATHUR.",398,133
49,SRI RAJYA LAKSHMI MEDICAL AGENCIES ,"D.NO 37-1-167-35,SHOP NPO 37,NEAR SAI SAROJ ,MAYURI THEATRE , KURNOOL ROAD ,ONGOLE PRAKSAM DIST ,ONGOLE ",587,626
