branchId,consignorId,ratePerKg,ratePerBox,boxType
515,28,9.8,1,Mattress
515,37,9.8,,
515,30,9.8,,
515,55,6,,
515,56,4,,
515,3,8.68,,
515,60,4,,
515,18,6,,
515,20,8.5,,
515,61,8.18,,
7,1,8.39,,
515,17,8.08,,
515,24,8.18,,
515,24,7.68,,
515,23,4.99,,
515,62,7.52,,
515,57,8.18,,
515,67,7,,
515,68,7,,
516,28,10.14,1,Pillow
516,37,10.14,,
516,30,10.14,,
516,3,8.99,,
516,60,4,,
516,18,6,,
516,20,8.5,,
516,17,8.39,,
516,24,8.49,,
516,24,7.99,,
516,23,5.25,,
516,62,7.8,,
516,57,8.49,,
516,67,7,,
516,68,7,,
517,28,9.57,1,Box
517,37,9.57,,
517,30,9.57,,
517,3,8.48,,
517,60,4,,
517,18,6,,
517,20,8.5,,
517,17,7.88,,
517,24,7.98,,
517,24,7.48,,
517,23,4.73,,
517,62,7.33,,
517,57,7.98,,
517,67,7,,
517,68,7,,
518,28,10.03,2,Box
518,37,10.03,,
518,30,10.03,,
518,56,4,,
518,3,8.89,,
518,18,6,,
518,20,8.5,,
518,61,8.39,,
518,17,8.29,,
518,24,8.39,,
518,24,7.89,,
518,23,5.14,,
518,62,7.71,,
518,57,8.39,,
518,67,7,,
518,68,7,,
17,28,6.4,1,Mattress
17,37,6.4,,
17,30,6.4,,
17,3,6.09,,
17,18,6,,
17,2,5.5,,
17,2,4,,
17,17,5.49,,
17,24,5.59,,
17,24,5.09,,
17,62,5.16,,
17,59,4.08,,
17,57,5.59,,
17,67,7,,
17,68,7,,
18,28,6.4,1,Pillow
18,37,6.4,,
18,30,6.4,,
18,3,6.09,,
18,60,4,,
18,21,8.4,,
18,18,6,,
18,20,5,,
18,2,5.5,,
18,2,4,,
18,17,5.49,,
18,24,5.59,,
18,24,5.09,,
18,62,5.16,,
18,40,6.19,,
18,59,4.08,,
18,57,5.59,,
18,67,7,,
18,68,7,,
19,28,6.4,,
19,37,6.4,,
19,30,6.4,,
19,3,6.09,,
19,60,4,,
19,64,3.3,,
19,64,3.2,,
19,21,8.4,,
19,18,6,,
19,20,5,,
19,61,5.59,,
19,54,3.06,,
19,11,5.15,,
19,7,5.15,,
19,2,5.5,,
19,2,4,,
19,1,5.8,,
19,17,5.49,,
19,24,5.59,,
19,24,5.09,,
19,62,5.16,,
19,40,6.19,,
19,59,4.08,,
19,57,5.59,,
19,67,7,,
19,68,7,,
